"","facet","rate","nthreads","cc_ph","cc","zipf","label","commute_ratio","phasing","timeout_scaling","throughput","op_timeouts"
"1","50% update
zipf: 0.6",100,4,"r/w locks","r/w locks",0.6,"4@100 <0>","0.5","off",200,6344.08888652048,0
"2","50% update
zipf: 0.6",100,16,"r/w locks","r/w locks",0.6,"16@100 <0>","0.5","off",200,17169.7975196994,0
"3","50% update
zipf: 0.6",100,32,"r/w locks","r/w locks",0.6,"32@100 <0>","0.5","off",200,11437.0489544149,0
"4","50% update
zipf: 0.6",100,64,"r/w locks","r/w locks",0.6,"64@100 <0>","0.5","off",200,8487.60583760812,0
"5","50% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <1>","0.5","off",200,6866.05713770438,1
"6","50% update
zipf: 0.6",100,4,"boosting","boosting",0.6,"4@100 <0>","0.5","off",200,6344.07491679798,0
"7","50% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","0.5","off",200,25385.6591725422,0
"8","50% update
zipf: 0.6",100,32,"boosting","boosting",0.6,"32@100 <0>","0.5","off",200,28270.2675801662,0
"9","50% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <9>","0.5","off",200,23984.7056496803,9
"10","50% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <0>","0.5","off",200,21146.5612025535,0
"11","50% update
zipf: 0.6",100,4,"r/w locks
 + phasing","r/w locks",0.6,"4@100 <0>","0.5","on",200,6343.01361101673,0
"12","50% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","0.5","on",200,25317.5932572918,0
"13","50% update
zipf: 0.6",100,32,"r/w locks
 + phasing","r/w locks",0.6,"32@100 <51>","0.5","on",200,30568.7524012665,51
"14","50% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"64@100 <67>","0.5","on",200,30872.3748510816,67
"15","50% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"96@100 <149>","0.5","on",200,29731.201110884,149
"16","50% update
zipf: 0.6",100,4,"boosting
 + phasing","boosting",0.6,"4@100 <0>","0.5","on",200,6343.6616340764,0
"17","50% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"16@100 <0>","0.5","on",200,25377.9740021227,0
"18","50% update
zipf: 0.6",100,32,"boosting
 + phasing","boosting",0.6,"32@100 <0>","0.5","on",200,39038.2458538787,0
"19","50% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"64@100 <20>","0.5","on",200,42611.4049898069,20
"20","50% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"96@100 <43>","0.5","on",200,41530.7890316027,43
"21","50% update
zipf: 0.6",100,4,"boosting
 + combining","boosting
 + combining",0.6,"4@100 <0>","0.5","off",200,6344.7301610571,0
"22","50% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0.5","off",200,25383.8171513716,0
"23","50% update
zipf: 0.6",100,32,"boosting
 + combining","boosting
 + combining",0.6,"32@100 <0>","0.5","off",200,30263.8392797865,0
"24","50% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <0>","0.5","off",200,27930.0020137131,0
"25","50% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <0>","0.5","off",200,23205.7175105222,0
"26","50% update
zipf: 0.6",100,4,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"4@100 <0>","0.5","on",200,6343.92697714705,0
"27","50% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0.5","on",200,25375.6518037672,0
"28","50% update
zipf: 0.6",100,32,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"32@100 <0>","0.5","on",200,41665.6542622227,0
"29","50% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <13>","0.5","on",200,44604.607782827,13
"30","50% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <39>","0.5","on",200,46447.6249658878,39
"31","50% update
zipf: 0.6",100,4,"r/w locks","r/w locks",0.6,"4@100 <0>","0.5","off",200,6342.10517550901,0
